,link_id,from_node_id,to_node_id,length,lanes,free_speed,geometry
0,0,0,1,0.06742,2,60,"LINESTRING (120.4409707 31.9174058, 120.4406563 31.9172512, 120.4404853 31.9172615, 120.4403109 31.9172950)"
1,1,2632,3,1.07356,2,60,"LINESTRING (120.6049086 31.8028505, 120.6009016 31.8033055, 120.6003125 31.8034114, 120.5997251 31.8035385, 120.5991430 31.8036942, 120.5985723 31.8038736, 120.5980065 31.8040762, 120.5974596 31.8042912, 120.5969236 31.8045356, 120.5964067 31.8047844, 120.5943333 31.8059099)"
2,2,3,2632,1.07356,2,60,"LINESTRING (120.5943333 31.8059099, 120.5964067 31.8047844, 120.5969236 31.8045356, 120.5974596 31.8042912, 120.5980065 31.8040762, 120.5985723 31.8038736, 120.5991430 31.8036942, 120.5997251 31.8035385, 120.6003125 31.8034114, 120.6009016 31.8033055, 120.6049086 31.8028505)"
3,4,6,7,0.02377,3,90,"LINESTRING (120.5262161 31.8415321, 120.5259649 31.8415337)"
4,5,7,8,0.81465,3,90,"LINESTRING (120.5259649 31.8415337, 120.5251504 31.8415387, 120.5247684 31.8415576, 120.5243436 31.8415916, 120.5240461 31.8416293, 120.5235646 31.8417162, 120.5230941 31.8418197, 120.5226568 31.8419349, 120.5221144 31.8421288, 120.5216509 31.8423181, 120.5211347 31.8425908, 120.5205909 31.8429153, 120.5199862 31.8432714, 120.5194756 31.8435688, 120.5190357 31.8438426, 120.5188444 31.8439690, 120.5186859 31.8440713, 120.5184627 31.8442052, 120.5182457 31.8443376)"
5,8,13,14,0.33877,2,100,"LINESTRING (120.6067570 31.7516998, 120.6072141 31.7547312)"
6,11,18,19,0.01846,2,80,"LINESTRING (120.5443181 31.8117267, 120.5441239 31.8117424)"
7,12,19,20,1.5805,2,80,"LINESTRING (120.5441239 31.8117424, 120.5437368 31.8117738, 120.5404770 31.8120378, 120.5375581 31.8122742, 120.5330816 31.8126782, 120.5299376 31.8129276, 120.5275240 31.8132591)"
8,13,20,21,0.01772,2,80,"LINESTRING (120.5275240 31.8132591, 120.5273403 31.8132901)"
9,16,24,25,0.4055,2,100,"LINESTRING (120.6083180 31.7624561, 120.6084266 31.7633845, 120.6085337 31.7645706, 120.6086254 31.7657592, 120.6086470 31.7661034)"
